기준년월,국가,긍정,부정,긍정 총계,부정 총계
202101,베트남,44.50506625097428,55.49493374902572,736.3492188719512,463.6507811280488
202102,베트남,41.8943533697632,58.1056466302368,736.3492188719512,463.6507811280488
202103,베트남,52.215568862275454,47.78443113772455,736.3492188719512,463.6507811280488
202104,베트남,60.6574761399788,39.34252386002121,736.3492188719512,463.6507811280488
202105,베트남,65.18353726362626,34.81646273637375,736.3492188719512,463.6507811280488
202106,베트남,65.07936507936508,34.92063492063492,736.3492188719512,463.6507811280488
202107,베트남,66.74786845310597,33.252131546894034,736.3492188719512,463.6507811280488
202108,베트남,63.74935266701192,36.25064733298809,736.3492188719512,463.6507811280488
202109,베트남,72.30119093353822,27.698809066461777,736.3492188719512,463.6507811280488
202110,베트남,72.19618869103405,27.803811308965948,736.3492188719512,463.6507811280488
202111,베트남,66.22497055359247,33.77502944640754,736.3492188719512,463.6507811280488
202112,베트남,65.59428060768543,34.405719392314566,736.3492188719512,463.6507811280488
