기준년월,순위,해시태그
202001,1,#korea
202002,1,#korea
202003,1,#makeup
202004,1,#travel
202005,1,#korea
202006,1,#korea
202007,1,#korea
202008,1,#visitkorea
202009,1,#travel
202010,1,#kto
202011,1,#kto
202012,1,#visitkorealater
202001,2,#travel
202002,2,#travel
202003,2,#korea
202004,2,#korea
202005,2,#visitkorea
202006,2,#travel
202007,2,#travel
202008,2,#kto
202009,2,#bts
202010,2,#visitkorea
202011,2,#dulichhanquoc
202012,2,#visitkorea
202001,3,#dulichhanquoc
202002,3,#makeup
202003,3,#travel
202004,3,#makeup
202005,3,#travel
202006,3,#visitkorea
202007,3,#visitkorea
202008,3,#dulichhanquoc
202009,3,#korea
202010,3,#dulichhanquoc
202011,3,#visitkorealater
202012,3,#kto
202001,4,#visitkorea
202002,4,#skincare
202003,4,#skincare
202004,4,#skincare
202005,4,#beauty
202006,4,#kto
202007,4,#kto
202008,4,#travel
202009,4,#kto
202010,4,#korea
202011,4,#korea
202012,4,#dulichhanquoc
202001,5,#kto
202002,5,#visitkorea
202003,5,#saigon
202004,5,#seoul
202005,5,#instagood
202006,5,#dulichhanquoc
202007,5,#dulichhanquoc
202008,5,#instagood
202009,5,#dulichhanquoc
202010,5,#imaginekoreanow
202011,5,#imaginekoreanow
202012,5,#imaginekoreanow
202001,6,#makeup
202002,6,#beauty
202003,6,#beauty
202004,6,#visitkorea
202005,6,#vietnam
202006,6,#beauty
202007,6,#ootd
202008,6,#ootd
202009,6,#visitkorea
202010,6,#visitkorealater
202011,6,#visitkorea
202012,6,#korea
202001,7,#skincare
202002,7,#dulichhanquoc
202003,7,#vietnam
202004,7,#bts
202005,7,#dulichhanquoc
202006,7,#vietnam
202007,7,#instagood
202008,7,#style
202009,7,#instagood
202010,7,#travel
202011,7,#skincare
202012,7,#beauty
202001,8,#beauty
202002,8,#kto
202003,8,#love
202004,8,#hanoi
202005,8,#bts
202006,8,#bts
202007,8,#love
202008,8,#fashion
202009,8,#ootd
202010,8,#skincare
202011,8,#vietnam
202012,8,#travel
202001,9,#photooftheday
202002,9,#seoul
202003,9,#cute
202004,9,#instagood
202005,9,#seoul
202006,9,#skincare
202007,9,#style
202008,9,#cute
202009,9,#love
202010,9,#makeup
202011,9,#beauty
202012,9,#love
202001,10,#instagood
202002,10,#saigon
202003,10,#seoul
202004,10,#saigon
202005,10,#makeup
202006,10,#instagood
202007,10,#seoul
202008,10,#korea
202009,10,#seoul
202010,10,#seoul
202011,10,#hanoi
202012,10,#skincare
